model,epochs,training_bytes,flops,flops_log10,bpb,ppl,unique_tokens,tokens_per_smiles,mean_token_length,bpb_improvement,efficiency_improvement,vocab_growth
PI1M_concat_1epoch,1,47653402,100072144200000000,17.00031320531346,0.831,1.78,4903,21.63,2.2,0.0,0.0,0.0
PI1M_concat_5epoch,5,238267018,500360737800000000,17.69928322423125,0.683,1.61,5775,18.23,2.62,17.809867629362206,15.718908922792412,17.78502957373037
PI1M_concat_22epoch,22,1048374856,2201587197600000000,18.342735891106724,0.623,1.56,8019,16.59,2.87,25.030084235860407,23.300970873786405,63.55292677952274
