Dataset,Model,Total Tokens,Mean Length,Median Length,Std Dev,Min,Max
PI1M,H-Net 1 epoch,"216,277",2.20,2.00,1.97,1,46
PI1M,H-Net 5 epochs,"182,298",2.62,2.00,2.36,1,71
PI1M,H-Net 22 epochs,"165,928",2.87,2.00,2.79,1,43
PI1M,SmilesPE,"113,497",4.20,4.00,3.10,1,23
MOSES,H-Net 5 epochs,"172,964",2.01,1.00,1.73,1,27
MOSES,SmilesPE,"58,589",5.94,6.00,3.27,1,21
