Metric,PI1M (Polymer),MOSES (Molecular)
Token Overlap Jaccard,0.3514,0.4493
Breakpoint Overlap Jaccard,0.7556,0.9600
Mean Token Length Diff,0.4524,0.1269
KL Divergence,2.0670,1.3073
