Model,Total Tokens,Unique Tokens,Total SMILES,Avg Tokens/SMILES,Median Tokens/SMILES,Mean Token Length,Median Token Length,Std Token Length
PI1M_concat_1epoch,216277,4903,10000,21.63,18.00,2.20,2.00,1.97
PI1M_noconcat_5epoch,220423,4094,10000,22.04,20.00,2.16,1.00,1.81
PI1M_concat_5epoch,182298,5775,10000,18.23,16.00,2.62,2.00,2.36
PI1M_concat_22epoch,165928,8019,10000,16.59,15.00,2.87,2.00,2.79
MOSES_noconcat_5epoch,184614,3112,10000,18.46,18.00,1.88,1.00,1.27
MOSES_concat_5epoch,172964,6183,10000,17.30,17.00,2.01,1.00,1.73
SmilesPE_PI1M,113497,1635,10000,11.35,10.00,4.20,4.00,3.10
SmilesPE_MOSES,58589,1969,10000,5.86,6.00,5.94,6.00,3.27
